.x,y,B,Bx,By,yzeroed,xzeroed
-10.9,-9.7,0.001454046,-0.001332172,0.000582725,1.3,0.1
-10.9,-9.6,0.001463275,-0.001336701,0.000595319,1.4,0.1
-10.9,-9.5,0.001473315,-0.001342084,0.00060784,1.5,0.1
-10.9,-9.4,0.001483731,-0.001347832,0.000620329,1.6,0.1
-10.9,-9.3,0.001494202,-0.00135358,0.000632819,1.7,0.1
-10.9,-9.2,0.001504724,-0.001359328,0.000645308,1.8,0.1
-10.9,-9.1,0.001515115,-0.001365031,0.000657467,1.9,0.1
-10.9,-9,0.001525151,-0.001370393,0.000669409,2,0.1
-10.9,-8.9,0.001534606,-0.001374541,0.000682387,2.1,0.1
-10.9,-8.8,0.001544881,-0.00137963,0.000695183,2.2,0.1
-10.9,-8.7,0.001555224,-0.001384735,0.000707976,2.3,0.1
-10.9,-8.6,0.001565619,-0.00138984,0.000720769,2.4,0.1
-10.9,-8.5,0.001576066,-0.001394945,0.000733563,2.5,0.1
-10.9,-8.4,0.001586564,-0.00140005,0.000746356,2.6,0.1
-10.9,-8.3,0.001598061,-0.001405261,0.000760947,2.7,0.1
-10.9,-8.2,0.001609891,-0.001410502,0.000776037,2.8,0.1
-10.9,-8.1,0.001621792,-0.001415743,0.000791126,2.9,0.1
-10.9,-8,0.001631757,-0.001419385,0.00080497,3,0.1
-10.9,-7.9,0.001641337,-0.001422669,0.000818535,3.1,0.1
-10.9,-7.8,0.00165098,-0.001425954,0.0008321,3.2,0.1
-10.9,-7.7,0.001660684,-0.001429238,0.000845665,3.3,0.1
-10.9,-7.6,0.001670454,-0.001432507,0.000859268,3.4,0.1
-10.9,-7.5,0.001680854,-0.001434393,0.000876234,3.5,0.1
-10.9,-7.4,0.001691362,-0.001436279,0.0008932,3.6,0.1
-10.9,-7.3,0.001701976,-0.001438165,0.000910167,3.7,0.1
-10.9,-7.2,0.001712243,-0.001439977,0.000926413,3.8,0.1
-10.9,-7.1,0.001722134,-0.001441713,0.000941918,3.9,0.1
-10.9,-7,0.001732109,-0.001443448,0.000957424,4,0.1
-10.9,-6.9,0.001742167,-0.001445184,0.000972929,4.1,0.1
-10.9,-6.8,0.001752941,-0.001446473,0.000990212,4.2,0.1
-10.9,-6.7,0.001764339,-0.001447405,0.001008917,4.3,0.1
-10.9,-6.6,0.001775861,-0.001448336,0.001027621,4.4,0.1
-10.9,-6.5,0.001787506,-0.001449268,0.001046326,4.5,0.1
-10.9,-6.4,0.001799269,-0.0014502,0.00106503,4.6,0.1
-10.9,-6.3,0.00180871,-0.001449233,0.001082199,4.7,0.1
-10.9,-6.2,0.001817341,-0.001447548,0.001098787,4.8,0.1
-10.9,-6.1,0.001826987,-0.001446346,0.001116229,4.9,0.1
-10.9,-6,0.001836784,-0.001445162,0.001133703,5,0.1
-10.9,-5.9,0.001846695,-0.001443978,0.001151178,5.1,0.1
