realX,realY,xMinusEarth,yMinusEarth
12,17,121.042785644531,-73.9399719238281
12,18,109.195556640625,-80.675048828125
12,19,97.4488830566406,-84.7142028808594
1,22,5.35109409066133,-398.788679255996
12,20,84.9531555175781,-88.2429504394531
12,21,72.8451538085938,-88.6802673339844
12,22,59.8454284667969,-87.3358154296875
12,23,46.8333435058594,-83.6131286621094
12,24,36.5809631347656,-79.4538879394531
12,25,28.1002807617187,-75.4373168945313
12,26,20.6120300292969,-72.5502014160156
12,27,14.6922302246094,-69.3075561523438
12,28,8.93630981445313,-65.6413269042969
12,29,3.88107299804687,-61.5322875976563
1,23,-24.4869232177734,-326.670259748186
12,30,-0.35430908203125,-59.2063903808594
12,31,-4.26773071289063,-54.8344421386719
12,32,-7.4896240234375,-51.6404724121094
12,33,-9.83123779296875,-47.4110412597656
1,24,-40.728759765625,-268.299380046565
1,25,-50.9496612548828,-225.164474487305
1,26,-55.7747650146484,-189.459733229417
1,27,-58.0450439453125,-161.571201525236
1,28,-58.2039003114443,-139.341690475876
1,29,-58.5772705078125,-120.617523193359
1,3,218.395690917969,720.038757324219
1,30,-56.6468811035156,-103.724975585938
1,31,-27.6844318096454,-54.5313556377704
13,10,135.464477539063,10.8177185058594
13,11,137.782440185547,0.6390380859375
13,12,137.235717773438,-12.2039794921875
13,13,134.398040771484,-23.5585021972656
13,14,128.413696289063,-35.1556396484375
13,15,121.490478515625,-45.41015625
13,16,112.853088378906,-54.5977783203125
13,17,103.439788818359,-62.5932312011719
13,18,93.8626098632813,-68.135986328125
13,19,83.8578796386719,-73.1062316894531
1,32,-24.4904541701413,-46.9715864202949
13,20,74.7708129882813,-75.7089233398438
13,21,64.0284729003906,-76.2457275390625
13,22,52.4130249023438,-75.2580261230469
13,23,42.0120239257813,-72.386474609375
13,24,33.1596374511719,-69.4613647460938
13,25,25.8697509765625,-67.4066162109375
13,26,19.4261169433594,-65.36376953125
13,27,14.3208312988281,-62.4507141113281
13,28,8.87786865234375,-59.3124389648438
13,29,4.5672607421875,-56.7439270019531
1,33,-21.5788426892511,-40.7678292811602
13,30,0.955963134765625,-53.9755249023438
13,31,-2.7838134765625,-51.1625671386719
13,32,-5.419921875,-48.3436584472656
13,33,-8.61526489257813,-45.633544921875
13,4,91.8046569824219,63.6448669433594
13,5,101.634674072266,59.9388122558594
13,6,110.594940185547,53.3201599121094
13,7,118.235931396484,44.605712890625
13,8,125.204010009766,33.1472778320312
13,9,130.882873535156,22.4998474121094
1,4,386.357421875,873.664398193359
14,1,55.357666015625,55.7305908203125
14,10,114.55810546875,7.92999267578125
14,11,115.301666259766,-2.10494995117187
